#,Table,DQ Check,Column,Status,Counts or Bad Data
1,carriers,Completeness,All,Fail,Source have more records: 759
2,airports,Completeness,All,Fail,Source have more records: 1699
3,flights,Completeness,All,Fail,Source have more records: 274
4,Source/carriers,Completeness,Code,Fail,5
5,Raw/carriers,Completeness,Code,Pass,There are no NULL values.
6,Source/carriers,Completeness,Description,Fail,3
7,Raw/carriers,Completeness,Description,Pass,There are no NULL values.
8,Source/airports,Consistency,State,Pass,All values are correct.
9,Raw/airports,Consistency,State,Pass,All values are correct.
10,Source/airports,Consistency,"State, Country",Fail,"Bad records found:
     iata                     airport        city state country        lat  \
10    01A           Perry-Warsaw-Test  Perry-Test   NaN     USA  42.741347   
1142  CLD  MC Clellan-Palomar Airport         NaN   NaN     USA  33.127231   
1721  HHH                 Hilton Head         NaN   NaN     USA  32.224384   
2257  MIB                   Minot AFB         NaN   NaN     USA  48.415769   
2318  MQT    Marquette County Airport         NaN   NaN     USA  46.353639   
2758  RCA               Ellsworth AFB         NaN   NaN     USA  44.145094   
2765  RDR             Grand Forks AFB         NaN   NaN     USA  47.961167   
2906  SCE             University Park         NaN   NaN     USA  40.851206   
2970  SKA               Fairchild AFB         NaN   NaN     USA  47.615058   

            long  
10    -78.052081  
1142 -117.278727  
1721  -80.697629  
2257 -101.358039  
2318  -87.395361  
2758 -103.103567  
2765  -97.401167  
2906  -77.846302  
2970 -117.655803  "
11,Raw/airports,Consistency,"State, Country",Pass,All values are correct.
12,Source/flights,Validity,Year,Fail,"Bad records found:
     Year  Month  DayofMonth  DayOfWeek  DepTime  CRSDepTime  ArrTime  \
513   NaN    NaN         NaN        NaN      NaN         NaN      NaN   
514   NaN    2.0         2.0        6.0    520.0       400.0    704.0   

     CRSArrTime UniqueCarrier  FlightNum  ... TaxiIn  TaxiOut  Cancelled  \
513         NaN           NaN        NaN  ...    4.0     13.0        0.0   
514       608.0            B6      724.0  ...    6.0      9.0        0.0   

     CancellationCode  Diverted  CarrierDelay WeatherDelay NASDelay  \
513               NaN       0.0           NaN          NaN      NaN   
514               NaN       0.0           0.0          0.0      0.0   

     SecurityDelay  LateAircraftDelay  
513            NaN                NaN  
514            0.0               56.0  

[2 rows x 29 columns]"
